1,Gloria,82,42,83,13,55.00,1.75
101,Colt,65,38,59,99,65.00,1.63
102,Ryan,3,57,86,62,52.00,1.50
103,Jenna,16,38,87,83,56.00,1.75
104,Noel,19,6,18,68,27.00,0.63
105,Colt,65,84,18,58,56.00,1.50
106,Echo,27,25,85,51,47.00,0.88
107,Nichole,65,35,73,51,56.00,1.38
108,Cooper,25,18,60,22,31.00,0.00
109,Jin,44,26,50,1,30.00,0.00
110,Davis,82,6,11,27,31.00,0.88
111,Basia,38,42,78,17,43.00,0.75
112,Hedwig,81,25,7,92,51.00,1.88
113,Ignatius,71,58,100,42,67.00,1.75
114,Chava,19,8,95,8,32.00,1.00
115,Glenna,12,70,28,86,49.00,1.50
116,Julie,66,84,13,75,59.00,2.25
117,Ezekiel,59,54,18,20,37.00,0.00
118,Drake,8,47,4,22,20.00,0.00
119,Mohammad,9,64,12,11,24.00,0.63
120,Howard,1,6,62,63,33.00,1.25
121,Jason,71,94,32,52,62.00,1.75
122,Clio,27,75,93,18,53.00,1.75
123,Philip,3,26,33,42,26.00,0.00
124,Fulton,12,63,38,31,36.00,0.63
125,Gil,26,77,6,42,37.00,0.75
126,Xantha,47,54,10,38,37.00,0.00
127,Phyllis,100,41,57,52,62.00,1.00
128,Vera,78,85,52,66,70.00,2.25
129,Yuri,11,20,72,56,39.00,0.75
130,Curran,62,18,7,17,26.00,0.63
131,Daniel,100,99,27,58,71.00,2.00
132,Fatima,67,43,20,10,35.00,0.63
133,Kadeem,32,36,32,82,45.00,0.88
134,Oscar,43,57,7,1,27.00,0.00
135,Brynne,98,80,93,90,90.00,3.63
136,Susan,14,12,44,46,29.00,0.00
137,Hop,14,22,87,43,41.00,0.88
138,Shellie,79,34,85,40,59.00,1.63
139,Destiny,90,30,44,25,47.00,0.88
140,Devin,29,1,87,52,42.00,0.88
141,Ciara,85,39,31,33,47.00,0.88
142,Valentine,88,81,77,19,66.00,2.50
143,Elaine,23,62,42,40,41.00,0.63
144,Jack,11,33,10,34,22.00,0.00
145,Malachi,81,62,90,65,74.00,3.00
146,Whilemina,65,56,74,27,55.00,1.38
147,Briar,45,91,70,94,75.00,2.63
148,MacKenzie,82,87,55,16,60.00,1.75
149,Minerva,14,100,42,83,59.00,1.88
150,Morgan,17,52,27,65,40.00,0.63
151,Dacey,97,64,56,97,78.00,2.63
152,Ashton,45,97,69,23,58.00,1.63
153,Perry,21,57,19,43,35.00,0.00
154,Iliana,73,97,39,86,73.00,2.63
155,Jonah,23,41,48,46,39.00,0.00
156,Burke,81,47,40,11,44.00,0.88
157,Dante,79,50,2,58,47.00,0.75
158,Melvin,5,81,1,33,30.00,0.88
159,Cheyenne,76,52,30,38,49.00,0.75
160,Jade,58,36,44,97,58.00,1.00
161,Emi,51,80,95,19,61.00,1.75
162,Ignatius,39,59,69,57,56.00,0.63
163,Wylie,37,15,21,23,24.00,0.00
164,Palmer,93,53,79,73,74.00,2.50
165,Marshall,67,40,96,26,57.00,1.63
166,Orli,65,7,30,31,33.00,0.63
167,Josiah,99,81,12,54,61.00,1.88
168,Maia,73,61,63,44,60.00,2.00
169,Phyllis,8,93,5,69,43.00,1.63
170,Avram,49,18,71,17,38.00,0.75
171,Denton,55,64,44,78,60.00,1.38
172,Hall,97,23,57,39,54.00,1.00
173,Teegan,58,92,11,20,45.00,1.00
174,Stewart,64,90,48,4,51.00,1.50
175,Hedwig,71,54,23,18,41.00,0.75
176,Selma,68,58,62,42,57.00,1.25
177,Nomlanga,58,88,80,25,62.00,1.63
178,John,62,44,66,77,62.00,2.00
179,Julian,58,83,44,69,63.00,1.50
180,Elijah,62,24,16,77,44.00,1.38
181,Gillian,98,62,16,43,54.00,1.63
182,Lysandra,70,66,35,6,44.00,1.25
183,Dorian,44,20,3,26,23.00,0.00
184,Dennis,44,2,59,29,33.00,0.00
185,Jerome,10,6,16,36,17.00,0.00
186,Cain,54,88,86,12,60.00,1.75
187,George,68,93,40,21,55.00,1.63
188,Emma,14,100,24,29,41.00,1.00
189,Leroy,26,25,97,86,58.00,1.88
190,Cecilia,18,59,99,55,57.00,1.00
191,Zelda,78,92,19,82,67.00,2.63
192,Carter,13,3,71,62,37.00,1.38
193,Hector,3,46,94,91,58.00,2.00
194,Hashim,40,94,29,95,64.00,2.00
195,Melanie,14,98,9,28,37.00,1.00
196,Walker,24,82,49,100,63.00,1.88
197,Xenos,12,20,67,6,26.00,0.63
198,Kermit,12,94,63,86,63.00,2.50
199,Honorato,86,59,91,79,78.00,2.63
200,Craig,63,72,33,39,51.00,1.38
